iter	RMSE
0	1.545814279
1	1.41237043
2	1.293565828
3	1.187687707
4	1.094167856
5	1.011655004
6	0.9388006496
7	0.8756945161
8	0.819945981
9	0.7716016509
10	0.7294144973
11	0.6935149447
12	0.6624674254
13	0.6361006939
14	0.6138093455
15	0.5948396643
16	0.5790298235
17	0.5657225267
18	0.5545348483
19	0.5452871663
20	0.5376342176
21	0.5314150039
22	0.526164333
23	0.5217212488
24	0.5181126225
25	0.5150964812
26	0.5125887985
27	0.5105428694
28	0.5088940648
29	0.5075384698
30	0.5063728978
31	0.5054076572
32	0.5046470404
33	0.5039718324
34	0.5034452974
35	0.5030130879
36	0.5026563436
37	0.5023341059
38	0.5021064293
39	0.5019115761
40	0.5017281535
41	0.5015743423
42	0.5014326866
43	0.501357669
44	0.5012742083
45	0.5012257701
46	0.5011752908
47	0.5011073861
48	0.5010537146
49	0.5010103307
50	0.5009748491
51	0.5009399993
52	0.5009163145
53	0.5008952849
54	0.5008719972
55	0.5008638566
56	0.500847882
57	0.5008338295
58	0.5008217602
59	0.5008094182
60	0.500801289
61	0.5007943934
62	0.5007852769
63	0.5007785732
64	0.5007683307
65	0.5007641049
66	0.5007615013
67	0.5007601412
68	0.5007601412
69	0.5007554727
70	0.5007503975
71	0.5007487509
72	0.5007393169
73	0.5007355129
74	0.5007300505
75	0.500728747
76	0.5007228781
77	0.5007211254
78	0.5007196628
79	0.5007153459
80	0.5007114774
81	0.5007070376
82	0.5007070209
83	0.500705686
84	0.5007055833
85	0.5007016637
86	0.5006990458
87	0.5006937864
88	0.5006929172
89	0.5006918057
90	0.5006914819
91	0.5006892379
92	0.5006868595
93	0.5006868577
94	0.500685597
95	0.5006775302
96	0.500676826
97	0.500676333
98	0.5006757645
99	0.5006717988
100	0.5006714586
101	0.500665806
102	0.5006655531
103	0.5006609357
104	0.5006597269
105	0.5006592868
106	0.5006567227
107	0.5006567212
108	0.5006564928
109	0.500655243
110	0.500650018
111	0.5006499249
112	0.5006467211
113	0.5006422645
114	0.5006417415
115	0.5006377184
116	0.5006368906
117	0.5006353674
118	0.5006321929
119	0.5006320918
120	0.5006297714
121	0.500629768
122	0.5006281193
123	0.5006278784
124	0.5006252877
125	0.5006234704
126	0.5006234686
127	0.5006221403
128	0.5006220393
129	0.5006217969
130	0.5006214082
131	0.5006212845
132	0.5006186216
133	0.5006164508
134	0.5006164507
135	0.5006164507
136	0.5006164507
137	0.5006164204
138	0.5006117858
139	0.5006036321
140	0.5005996981
141	0.500594308
142	0.500587457
143	0.5005822192
144	0.5005783077
145	0.5005745862
146	0.5005649254
147	0.5005647814
148	0.5005644488
149	0.5005632712
150	0.5005631376
151	0.5005573979
152	0.5005533947
153	0.5005514042
154	0.5005471245
155	0.5005393669
156	0.5005390029
157	0.5005378822
158	0.5005344978
159	0.5005319588
160	0.5005240456
161	0.5005201879
162	0.5005180212
163	0.5005152922
164	0.5005130823
165	0.5005119312
166	0.5005040998
167	0.5005009118
168	0.5004929192
169	0.500488452
170	0.5004828921
171	0.5004822861
172	0.5004807445
173	0.5004785432
174	0.500471915
175	0.5004652521
176	0.5004623604
177	0.500456396
178	0.5004538285
179	0.5004489405
180	0.5004452202
181	0.5004396583
182	0.5004391438
183	0.5004303077
184	0.5004299389
185	0.5004259449
186	0.5004239512
187	0.5004176402
188	0.5004129735
189	0.5004102426
190	0.5004070547
191	0.50040113
192	0.5004009505
193	0.5004001305
194	0.5003902244
195	0.5003838143
196	0.5003813329
197	0.5003762808
198	0.5003750022
199	0.5003701043
200	0.500367433
201	0.5003607106
202	0.5003526626
203	0.5003494656
204	0.5003460535
205	0.5003453278
206	0.5003388443
207	0.5003364259
208	0.5003363093
209	0.5003307522
210	0.5003263651
211	0.5003234216
212	0.5003178268
213	0.5003138033
214	0.500308093
215	0.5003017242
216	0.5002964101
217	0.5002883062
218	0.5002852458
219	0.5002823451
220	0.500275401
221	0.5002743952
222	0.5002708624
223	0.5002644206
224	0.5002584775
225	0.5002566716
226	0.500252461
227	0.5002466044
228	0.5002411997
229	0.5002407697
230	0.5002350799
231	0.500234614
232	0.5002294172
233	0.500226939
234	0.5002224933
235	0.5002221429
236	0.5002198782
237	0.500213265
238	0.5002072774
239	0.5002010556
240	0.5001992703
241	0.5001985812
