iter	RMSE
242	0.5001934399
243	0.5001924098
244	0.5001870887
245	0.5001850748
246	0.5001849084
247	0.5001830313
248	0.5001801986
249	0.5001750662
250	0.5001684937
251	0.5001631456
252	0.5001572047
253	0.5001534032
254	0.5001498564
255	0.5001455295
256	0.5001387517
257	0.5001338728
258	0.5001276566
259	0.5001253226
260	0.5001203674
261	0.500118586
262	0.5001156976
263	0.5001116629
264	0.5001077308
265	0.5001038729
266	0.5000987589
267	0.5000936421
268	0.5000879978
269	0.5000844466
270	0.5000812539
271	0.5000758904
272	0.5000722386
273	0.500069902
274	0.5000669254
275	0.5000618422
276	0.5000603846
277	0.5000539507
278	0.5000465863
279	0.5000440417
280	0.5000414198
281	0.5000381253
282	0.5000330894
283	0.5000305598
284	0.5000261401
285	0.5000241157
286	0.5000235041
287	0.5000224277
288	0.5000185345
289	0.5000116904
290	0.5000081626
291	0.5000022083
292	0.500000988
293	0.5000006415
294	0.4999983918
295	0.4999939886
296	0.4999875347
297	0.4999847339
298	0.4999842513
299	0.4999807937
300	0.4999787745
301	0.4999733039
302	0.4999677338
303	0.4999640418
304	0.4999630371
305	0.4999611624
306	0.4999604039
307	0.4999573653
308	0.4999508479
309	0.4999487056
310	0.4999448292
311	0.4999431441
312	0.4999387616
313	0.4999342396
314	0.4999288145
315	0.4999285035
316	0.4999269444
317	0.499921168
318	0.4999178748
319	0.4999120535
320	0.4999082629
321	0.499907655
322	0.499907261
323	0.4999066776
324	0.4999057454
325	0.4999050909
326	0.499904147
327	0.4998989173
328	0.499897192
329	0.4998939633
330	0.4998914745
331	0.4998884253
332	0.499884837
333	0.4998844345
334	0.4998779854
335	0.4998727353
336	0.4998680688
337	0.4998671174
338	0.4998663406
339	0.4998645958
340	0.4998618051
341	0.4998574658
342	0.4998515657
343	0.4998510493
344	0.4998486035
345	0.4998432527
346	0.4998384843
347	0.4998371322
348	0.4998359693
349	0.4998298332
350	0.4998255868
351	0.4998207147
352	0.4998182085
353	0.4998133778
354	0.4998083411
355	0.499805262
356	0.4998026578
357	0.4998016736
358	0.499796643
359	0.4997948242
360	0.4997937275
361	0.4997900613
362	0.4997850691
363	0.4997825029
364	0.499775582
365	0.4997707695
366	0.4997659186
367	0.4997646226
368	0.4997637236
369	0.4997619939
370	0.4997562317
371	0.4997549814
372	0.4997537629
373	0.4997498856
374	0.4997470333
375	0.4997420529
376	0.4997361701
377	0.4997352819
378	0.499733211
379	0.4997287784
380	0.4997253332
381	0.4997216547
382	0.4997170754
383	0.4997123478
384	0.4997111153
385	0.4997057501
386	0.499701038
387	0.4996981434
388	0.499695655
389	0.4996904329
390	0.4996847298
391	0.499679051
392	0.4996757512
393	0.4996699625
394	0.4996669972
395	0.4996620244
396	0.4996592615
397	0.4996541563
398	0.4996532751
399	0.4996511622
400	0.4996472778
401	0.4996453589
402	0.4996395804
403	0.4996331366
404	0.4996284743
405	0.4996244502
406	0.4996235639
407	0.4996228911
408	0.4996195806
409	0.4996148625
410	0.4996114897
411	0.499610097
412	0.4996084072
413	0.499607791
414	0.4996060906
415	0.4996000514
416	0.4995960241
417	0.4995911109
418	0.4995863713
419	0.499583809
420	0.4995799279
421	0.4995772835
422	0.499570159
423	0.4995669629
424	0.4995640913
425	0.4995570616
426	0.4995552431
427	0.4995523005
428	0.4995475366
429	0.4995438924
430	0.4995403921
431	0.4995402561
432	0.4995375315
433	0.4995335692
434	0.4995294835
435	0.499524296
436	0.4995220514
437	0.4995166998
438	0.4995115395
439	0.4995066336
440	0.4995045588
441	0.4995036524
442	0.4994991227
443	0.4994968683
444	0.4994948562
445	0.4994904396
446	0.4994873318
447	0.499486651
448	0.4994844192
449	0.4994809548
450	0.4994766903
451	0.4994756396
452	0.499471217
453	0.4994688469
454	0.4994653581
455	0.4994622518
456	0.4994571226
457	0.4994539252
458	0.499449227
459	0.4994487611
460	0.4994462109
461	0.499445519
462	0.4994432162
463	0.4994398654
464	0.4994355222
465	0.4994308132
466	0.4994253408
467	0.4994240609
468	0.4994197568
469	0.4994182308
470	0.4994130944
471	0.4994069948
472	0.4994025614
473	0.4993967075
474	0.4993922307
475	0.49938855
476	0.4993831423
477	0.4993779822
478	0.4993766822
479	0.4993743224
480	0.4993741123
481	0.49937105
482	0.4993696797
483	0.4993670223
484	0.4993630431
485	0.4993590171
486	0.4993571664
487	0.4993556946
488	0.4993514406
489	0.4993484264
490	0.499345261
491	0.4993413778
492	0.4993379599
493	0.4993341183
494	0.4993301798
495	0.4993282017
496	0.4993246994
497	0.4993218328
498	0.4993190141
499	0.4993188024
